"","SITE","SEASON","SAMPLING_PERIOD","SP","CAPTURES"
"191",9,"Winter",2,"Carollia_perspicillata",NA
"205",9,"Winter",3,"Carollia_perspicillata",NA
"178",10,"Winter",1,"Carollia_perspicillata",NA
"192",10,"Winter",2,"Carollia_perspicillata",NA
"206",10,"Winter",3,"Carollia_perspicillata",NA
"179",11,"Winter",1,"Carollia_perspicillata",NA
"193",11,"Winter",2,"Carollia_perspicillata",NA
"207",11,"Winter",3,"Carollia_perspicillata",NA
"180",12,"Winter",1,"Carollia_perspicillata",NA
"194",12,"Winter",2,"Carollia_perspicillata",NA
"208",12,"Winter",3,"Carollia_perspicillata",NA
"181",13,"Winter",1,"Carollia_perspicillata",NA
"195",13,"Winter",2,"Carollia_perspicillata",NA
"209",13,"Winter",3,"Carollia_perspicillata",NA
"182",14,"Winter",1,"Carollia_perspicillata",NA
"196",14,"Winter",2,"Carollia_perspicillata",NA
"210",14,"Winter",3,"Carollia_perspicillata",NA
"1345",1,"Summer",1,"Chrotopterus_auritus",NA
"1359",1,"Summer",2,"Chrotopterus_auritus",NA
"1373",1,"Summer",3,"Chrotopterus_auritus",NA
"1346",2,"Summer",1,"Chrotopterus_auritus",NA
"1360",2,"Summer",2,"Chrotopterus_auritus",NA
"1374",2,"Summer",3,"Chrotopterus_auritus",NA
"1347",3,"Summer",1,"Chrotopterus_auritus",NA
"1361",3,"Summer",2,"Chrotopterus_auritus",NA
"1375",3,"Summer",3,"Chrotopterus_auritus",NA
"1348",4,"Summer",1,"Chrotopterus_auritus",NA
"1362",4,"Summer",2,"Chrotopterus_auritus",NA
"1376",4,"Summer",3,"Chrotopterus_auritus",NA
"1349",5,"Summer",1,"Chrotopterus_auritus",NA
"1363",5,"Summer",2,"Chrotopterus_auritus",NA
"1377",5,"Summer",3,"Chrotopterus_auritus",NA
"1350",6,"Summer",1,"Chrotopterus_auritus",NA
"1364",6,"Summer",2,"Chrotopterus_auritus",NA
"1378",6,"Summer",3,"Chrotopterus_auritus",NA
"1351",7,"Summer",1,"Chrotopterus_auritus",NA
"1365",7,"Summer",2,"Chrotopterus_auritus",NA
"1379",7,"Summer",3,"Chrotopterus_auritus",NA
"1352",8,"Summer",1,"Chrotopterus_auritus",NA
"1366",8,"Summer",2,"Chrotopterus_auritus",NA
"1380",8,"Summer",3,"Chrotopterus_auritus",NA
"1353",9,"Summer",1,"Chrotopterus_auritus",NA
"1367",9,"Summer",2,"Chrotopterus_auritus",NA
"1381",9,"Summer",3,"Chrotopterus_auritus",NA
"1354",10,"Summer",1,"Chrotopterus_auritus",NA
"1368",10,"Summer",2,"Chrotopterus_auritus",NA
"1382",10,"Summer",3,"Chrotopterus_auritus",NA
"1355",11,"Summer",1,"Chrotopterus_auritus",NA
"1369",11,"Summer",2,"Chrotopterus_auritus",NA
"1383",11,"Summer",3,"Chrotopterus_auritus",NA
"1356",12,"Summer",1,"Chrotopterus_auritus",NA
"1370",12,"Summer",2,"Chrotopterus_auritus",NA
"1384",12,"Summer",3,"Chrotopterus_auritus",NA
"1357",13,"Summer",1,"Chrotopterus_auritus",NA
"1371",13,"Summer",2,"Chrotopterus_auritus",NA
"1385",13,"Summer",3,"Chrotopterus_auritus",NA
"1358",14,"Summer",1,"Chrotopterus_auritus",NA
"1372",14,"Summer",2,"Chrotopterus_auritus",NA
